dataset_id,title,role,landing_page,download_url,download_date,downloaded_at_utc,source_issued_date,source_modified_date,source_release_date,raw_path,file_name,file_size_bytes,sha256,row_count,column_count,candidate_key,measurement_period,dictionary_url
xubh-q36u,Hospital General Information,facility_dimension_source,https://data.cms.gov/provider-data/dataset/xubh-q36u,https://data.cms.gov/provider-data/sites/default/files/resources/893c372430d9d71a1c52737d01239d47_1785189955/Hospital_General_Information.csv,2026-08-26,2026-08-26T23:48:04+00:00,2025-01-08,2026-07-22,2026-08-13,data/raw/provider/2026-08-26/xubh-q36u/Hospital_General_Information.csv,Hospital_General_Information.csv,1450767,f874f09fef895a1ccf5bb7392dcbb2be05c9860339261b093fe00f0c1b013480,5419,38,Facility ID,Profile from source date columns,https://data.cms.gov/provider-data/sites/default/files/data_dictionaries/hospital/HOSPITAL_Data_Dictionary.pdf
632h-zaca,Unplanned Hospital Visits - Hospital,facility_measure_fact_source,https://data.cms.gov/provider-data/dataset/632h-zaca,https://data.cms.gov/provider-data/sites/default/files/resources/30edc1d0417a34b58affcc2495a02b0a_1785189969/Unplanned_Hospital_Visits-Hospital.csv,2026-08-26,2026-08-26T23:48:04+00:00,2023-07-05,2026-07-22,2026-08-13,data/raw/provider/2026-08-26/632h-zaca/Unplanned_Hospital_Visits-Hospital.csv,Unplanned_Hospital_Visits-Hospital.csv,19048784,a3e64029ea6daea1f7de163e5b5054b918d0c8be986fccfc47c7a8d5b29a6d1d,67060,20,Facility ID + Measure ID + Measure Start Date|Start Date + Measure End Date|End Date,Profile from source date columns,https://data.cms.gov/provider-data/sites/default/files/data_dictionaries/hospital/HOSPITAL_Data_Dictionary.pdf
4gkm-5ypv,Unplanned Hospital Visits - State,state_measure_benchmark_source,https://data.cms.gov/provider-data/dataset/4gkm-5ypv,https://data.cms.gov/provider-data/sites/default/files/resources/73ce05bc6ecbb5def0e859818a906f7b_1785189970/Unplanned_Hospital_Visits-State.csv,2026-08-26,2026-08-26T23:48:04+00:00,2020-12-10,2026-07-22,2026-08-13,data/raw/provider/2026-08-26/4gkm-5ypv/Unplanned_Hospital_Visits-State.csv,Unplanned_Hospital_Visits-State.csv,135088,b3ac4695472df9847c032bccce2fd56db6bc65dcdcc9ac77aaf0aa25b9384f22,784,14,State + Measure ID + Measure Start Date|Start Date + Measure End Date|End Date,Profile from source date columns,https://data.cms.gov/provider-data/sites/default/files/data_dictionaries/hospital/HOSPITAL_Data_Dictionary.pdf
cvcs-xecj,Unplanned Hospital Visits - National,national_measure_benchmark_source,https://data.cms.gov/provider-data/dataset/cvcs-xecj,https://data.cms.gov/provider-data/sites/default/files/resources/d30b0557f1d06bee1d5646d2eaede709_1785189969/Unplanned_Hospital_Visits-National.csv,2026-08-26,2026-08-26T23:48:04+00:00,2020-12-10,2026-07-22,2026-08-13,data/raw/provider/2026-08-26/cvcs-xecj/Unplanned_Hospital_Visits-National.csv,Unplanned_Hospital_Visits-National.csv,2814,44e39aedc296f00fa8477a3485a66012cbfcdefb173435199a0b03343c9402c3,14,14,Measure ID + Measure Start Date|Start Date + Measure End Date|End Date,Profile from source date columns,https://data.cms.gov/provider-data/sites/default/files/data_dictionaries/hospital/HOSPITAL_Data_Dictionary.pdf
9n3s-kdb3,Hospital Readmissions Reduction Program,hrrp_facility_measure_fact_source,https://data.cms.gov/provider-data/dataset/9n3s-kdb3,https://data.cms.gov/provider-data/sites/default/files/resources/a171bc36c488d3e0dc33ec63abb469a6_1770163617/FY_2026_Hospital_Readmissions_Reduction_Program_Hospital.csv,2026-08-26,2026-08-26T23:48:04+00:00,2020-12-10,2026-01-26,2026-08-13,data/raw/provider/2026-08-26/9n3s-kdb3/FY_2026_Hospital_Readmissions_Reduction_Program_Hospital.csv,FY_2026_Hospital_Readmissions_Reduction_Program_Hospital.csv,2068464,7e7915dd2751a1e59ac46dbc9194fb781e820962a04d47c31344ea2bb30c91f6,18330,12,Facility ID + Measure Name|Measure ID + Start Date|Measure Start Date + End Date|Measure End Date,Profile from source date columns,https://data.cms.gov/provider-data/sites/default/files/data_dictionaries/hospital/HOSPITAL_Data_Dictionary.pdf
ypbt-wvdk,Hospital Value-Based Purchasing (HVBP) - Total Performance Score,hvbp_facility_program_score_source,https://data.cms.gov/provider-data/dataset/ypbt-wvdk,https://data.cms.gov/provider-data/sites/default/files/resources/5551d4839c1dd75e3f7fe1310a1e2369_1770163628/hvbp_tps.csv,2026-08-26,2026-08-26T23:48:04+00:00,2023-07-05,2026-01-26,2026-08-13,data/raw/provider/2026-08-26/ypbt-wvdk/hvbp_tps.csv,hvbp_tps.csv,568036,68263e795e5cd228b63e9632f50b1613e409f3ff20d85fd0c114aed4085ee103,2455,17,Facility ID + Fiscal Year,Profile from source date columns,https://data.cms.gov/provider-data/sites/default/files/data_dictionaries/hospital/HOSPITAL_Data_Dictionary.pdf
