dataset_id,column_name,physical_ingest_type,inferred_semantic_type,row_count,blank_count,blank_rate,suppressed_token_count,distinct_nonblank_count,numeric_parse_success_count,numeric_parse_eligible_count,numeric_parse_success_rate,date_parse_success_count,date_parse_eligible_count,date_parse_success_rate,top_values_json
4gkm-5ypv,End Date,string,date-like,784,0,0.0,0,2,0,784,0.0,784,784,1.0,"[{""value"": ""06/30/2025"", ""count"": 560}, {""value"": ""12/31/2024"", ""count"": 224}]"
4gkm-5ypv,Footnote,string,string,784,676,0.8622448979591837,0,2,108,108,1.0,0,108,,"[{""value"": ""5"", ""count"": 56}, {""value"": ""4"", ""count"": 52}]"
4gkm-5ypv,Measure ID,string,string,784,0,0.0,0,14,0,784,0.0,0,784,,"[{""value"": ""EDAC_30_AMI"", ""count"": 56}, {""value"": ""EDAC_30_HF"", ""count"": 56}, {""value"": ""EDAC_30_PN"", ""count"": 56}, {""value"": ""Hybrid_HWR"", ""count"": 56}, {""value"": ""OP_32"", ""count"": 56}]"
4gkm-5ypv,Measure Name,string,string,784,0,0.0,0,14,0,784,0.0,0,784,,"[{""value"": ""Hospital return days for heart attack patients"", ""count"": 56}, {""value"": ""Hospital return days for heart failure patients"", ""count"": 56}, {""value"": ""Hospital return days for pneumonia patients"", ""count"": 56}, {""value"": ""Hybrid Hospital-Wide All-Cause Readmission Measure (HWR)"", ""count"": 56}, {""value"": ""Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)"", ""count"": 56}]"
4gkm-5ypv,Number of Hospitals Average,string,string,784,0,0.0,628,83,156,156,1.0,0,156,,"[{""value"": ""Not Applicable"", ""count"": 616}, {""value"": ""Not Available"", ""count"": 12}, {""value"": ""9"", ""count"": 7}, {""value"": ""11"", ""count"": 7}, {""value"": ""26"", ""count"": 5}]"
4gkm-5ypv,Number of Hospitals Better,string,string,784,0,0.0,264,11,520,520,1.0,0,520,,"[{""value"": ""0"", ""count"": 420}, {""value"": ""Not Applicable"", ""count"": 168}, {""value"": ""Not Available"", ""count"": 96}, {""value"": ""1"", ""count"": 63}, {""value"": ""2"", ""count"": 22}]"
4gkm-5ypv,Number of Hospitals Fewer,string,string,784,0,0.0,628,29,156,156,1.0,0,156,,"[{""value"": ""Not Applicable"", ""count"": 616}, {""value"": ""0"", ""count"": 42}, {""value"": ""1"", ""count"": 21}, {""value"": ""2"", ""count"": 15}, {""value"": ""Not Available"", ""count"": 12}]"
4gkm-5ypv,Number of Hospitals More,string,string,784,0,0.0,628,28,156,156,1.0,0,156,,"[{""value"": ""Not Applicable"", ""count"": 616}, {""value"": ""0"", ""count"": 44}, {""value"": ""1"", ""count"": 18}, {""value"": ""2"", ""count"": 14}, {""value"": ""3"", ""count"": 13}]"
4gkm-5ypv,Number of Hospitals Same,string,string,784,0,0.0,264,140,520,520,1.0,0,520,,"[{""value"": ""Not Applicable"", ""count"": 168}, {""value"": ""Not Available"", ""count"": 96}, {""value"": ""8"", ""count"": 19}, {""value"": ""13"", ""count"": 15}, {""value"": ""15"", ""count"": 14}]"
4gkm-5ypv,Number of Hospitals Too Few,string,string,784,0,0.0,264,81,520,520,1.0,0,520,,"[{""value"": ""Not Applicable"", ""count"": 168}, {""value"": ""Not Available"", ""count"": 96}, {""value"": ""0"", ""count"": 31}, {""value"": ""1"", ""count"": 28}, {""value"": ""2"", ""count"": 28}]"
4gkm-5ypv,Number of Hospitals Too Small,string,string,784,0,0.0,628,62,156,156,1.0,0,156,,"[{""value"": ""Not Applicable"", ""count"": 616}, {""value"": ""Not Available"", ""count"": 12}, {""value"": ""12"", ""count"": 6}, {""value"": ""32"", ""count"": 6}, {""value"": ""2"", ""count"": 6}]"
4gkm-5ypv,Number of Hospitals Worse,string,string,784,0,0.0,264,12,520,520,1.0,0,520,,"[{""value"": ""0"", ""count"": 408}, {""value"": ""Not Applicable"", ""count"": 168}, {""value"": ""Not Available"", ""count"": 96}, {""value"": ""1"", ""count"": 66}, {""value"": ""2"", ""count"": 26}]"
4gkm-5ypv,Start Date,string,date-like,784,0,0.0,0,5,0,784,0.0,784,784,1.0,"[{""value"": ""07/01/2023"", ""count"": 336}, {""value"": ""07/01/2022"", ""count"": 168}, {""value"": ""01/01/2024"", ""count"": 168}, {""value"": ""07/01/2024"", ""count"": 56}, {""value"": ""01/01/2022"", ""count"": 56}]"
4gkm-5ypv,State,string,string,784,0,0.0,0,56,0,784,0.0,0,784,,"[{""value"": ""AK"", ""count"": 14}, {""value"": ""AL"", ""count"": 14}, {""value"": ""AR"", ""count"": 14}, {""value"": ""AS"", ""count"": 14}, {""value"": ""AZ"", ""count"": 14}]"
632h-zaca,Address,string,string,67060,0,0.0,0,4755,0,67060,0.0,0,67060,,"[{""value"": ""100 HOSPITAL DRIVE"", ""count"": 84}, {""value"": ""200 HOSPITAL DRIVE"", ""count"": 56}, {""value"": ""1 MEDICAL CENTER DRIVE"", ""count"": 42}, {""value"": ""100 MEDICAL CENTER DRIVE"", ""count"": 42}, {""value"": ""ONE HOSPITAL DRIVE"", ""count"": 42}]"
632h-zaca,City/Town,string,string,67060,0,0.0,0,2926,0,67060,0.0,0,67060,,"[{""value"": ""CHICAGO"", ""count"": 420}, {""value"": ""HOUSTON"", ""count"": 350}, {""value"": ""PHILADELPHIA"", ""count"": 266}, {""value"": ""DALLAS"", ""count"": 266}, {""value"": ""LOS ANGELES"", ""count"": 238}]"
632h-zaca,Compared to National,string,string,67060,0,0.0,35206,12,0,31854,0.0,0,31854,,"[{""value"": ""Not Available"", ""count"": 20597}, {""value"": ""No Different Than the National Rate"", ""count"": 20581}, {""value"": ""Number of Cases Too Small"", ""count"": 13767}, {""value"": ""Average Days per 100 Discharges"", ""count"": 6524}, {""value"": ""No Different than expected"", ""count"": 2577}]"
632h-zaca,County/Parish,string,string,67060,0,0.0,0,1549,0,67060,0.0,0,67060,,"[{""value"": ""LOS ANGELES"", ""count"": 1064}, {""value"": ""COOK"", ""count"": 700}, {""value"": ""JEFFERSON"", ""count"": 686}, {""value"": ""MONTGOMERY"", ""count"": 658}, {""value"": ""WASHINGTON"", ""count"": 644}]"
632h-zaca,Denominator,string,string,67060,0,0.0,35206,1966,31854,31854,1.0,0,31854,,"[{""value"": ""Not Available"", ""count"": 35206}, {""value"": ""26"", ""count"": 235}, {""value"": ""25"", ""count"": 228}, {""value"": ""27"", ""count"": 227}, {""value"": ""29"", ""count"": 211}]"
632h-zaca,End Date,string,date-like,67060,0,0.0,0,2,0,67060,0.0,67060,67060,1.0,"[{""value"": ""06/30/2025"", ""count"": 47900}, {""value"": ""12/31/2024"", ""count"": 19160}]"
632h-zaca,Facility ID,string,string,67060,0,0.0,0,4790,64764,67060,0.9657620041753654,0,67060,,"[{""value"": ""010001"", ""count"": 14}, {""value"": ""010005"", ""count"": 14}, {""value"": ""010006"", ""count"": 14}, {""value"": ""010007"", ""count"": 14}, {""value"": ""010011"", ""count"": 14}]"
632h-zaca,Facility Name,string,string,67060,0,0.0,0,4670,0,67060,0.0,0,67060,,"[{""value"": ""MEMORIAL HOSPITAL"", ""count"": 168}, {""value"": ""COMMUNITY MEMORIAL HOSPITAL"", ""count"": 70}, {""value"": ""HOLY CROSS HOSPITAL"", ""count"": 56}, {""value"": ""MERCY MEDICAL CENTER"", ""count"": 56}, {""value"": ""MEMORIAL MEDICAL CENTER"", ""count"": 56}]"
632h-zaca,Footnote,string,string,67060,31264,0.46620936474798685,0,10,35700,35796,0.9973181361045927,0,35796,,"[{""value"": ""1"", ""count"": 14513}, {""value"": ""5"", ""count"": 12935}, {""value"": ""4"", ""count"": 4478}, {""value"": ""19"", ""count"": 2408}, {""value"": ""7"", ""count"": 776}]"
632h-zaca,Higher Estimate,string,numeric-like,67060,0,0.0,35206,2070,31854,31854,1.0,0,31854,,"[{""value"": ""Not Available"", ""count"": 35206}, {""value"": ""1.4"", ""count"": 656}, {""value"": ""1.3"", ""count"": 560}, {""value"": ""1.5"", ""count"": 458}, {""value"": ""1.2"", ""count"": 377}]"
632h-zaca,Lower Estimate,string,numeric-like,67060,0,0.0,35206,1285,31854,31854,1.0,0,31854,,"[{""value"": ""Not Available"", ""count"": 35206}, {""value"": ""0.7"", ""count"": 1222}, {""value"": ""0.8"", ""count"": 721}, {""value"": ""0.6"", ""count"": 361}, {""value"": ""0.9"", ""count"": 295}]"
