dataset_id,start_date_column,end_date_column,measurement_start_date,measurement_end_date,row_count
632h-zaca,Start Date,End Date,07/01/2023,06/30/2025,28740
632h-zaca,Start Date,End Date,07/01/2022,06/30/2025,14370
632h-zaca,Start Date,End Date,01/01/2024,12/31/2024,14370
632h-zaca,Start Date,End Date,07/01/2024,06/30/2025,4790
632h-zaca,Start Date,End Date,01/01/2022,12/31/2024,4790
4gkm-5ypv,Start Date,End Date,07/01/2023,06/30/2025,336
4gkm-5ypv,Start Date,End Date,07/01/2022,06/30/2025,168
4gkm-5ypv,Start Date,End Date,01/01/2024,12/31/2024,168
4gkm-5ypv,Start Date,End Date,07/01/2024,06/30/2025,56
4gkm-5ypv,Start Date,End Date,01/01/2022,12/31/2024,56
cvcs-xecj,Start Date,End Date,07/01/2023,06/30/2025,6
cvcs-xecj,Start Date,End Date,07/01/2022,06/30/2025,3
cvcs-xecj,Start Date,End Date,01/01/2024,12/31/2024,3
cvcs-xecj,Start Date,End Date,07/01/2024,06/30/2025,1
cvcs-xecj,Start Date,End Date,01/01/2022,12/31/2024,1
9n3s-kdb3,Start Date,End Date,07/01/2021,06/30/2024,18330
