dataset_id,title,raw_path,row_count,column_count,file_size_bytes,sha256,source_release_date,source_modified_date,candidate_key,candidate_key_blank_rows,candidate_key_duplicate_rows,candidate_key_duplicate_groups,exact_duplicate_rows,facility_id_columns,invalid_facility_id_count,alternative_facility_id_row_count,leading_zero_facility_id_count,footnote_columns,footnoted_row_count,suppression_token_count,suppression_tokens_json,measurement_period_variant_count,measurement_period_order_violations
4gkm-5ypv,Unplanned Hospital Visits - State,data/raw/provider/2026-08-26/4gkm-5ypv/Unplanned_Hospital_Visits-State.csv,784,14,135088,b3ac4695472df9847c032bccce2fd56db6bc65dcdcc9ac77aaf0aa25b9384f22,2026-08-13,2026-07-22,State + Measure ID + Start Date + End Date,0,0,0,0,,0,0,0,Footnote,108,3568,"{""not applicable"": 3136, ""not available"": 432}",5,0
632h-zaca,Unplanned Hospital Visits - Hospital,data/raw/provider/2026-08-26/632h-zaca/Unplanned_Hospital_Visits-Hospital.csv,67060,20,19048784,a3e64029ea6daea1f7de163e5b5054b918d0c8be986fccfc47c7a8d5b29a6d1d,2026-08-13,2026-07-22,Facility ID + Measure ID + Start Date + End Date,0,0,0,0,Facility ID,0,2296,10486,Footnote,35796,293567,"{""not applicable"": 105380, ""not available"": 173578, ""number of cases too small"": 14609}",5,0
9n3s-kdb3,Hospital Readmissions Reduction Program,data/raw/provider/2026-08-26/9n3s-kdb3/FY_2026_Hospital_Readmissions_Reduction_Program_Hospital.csv,18330,12,2068464,7e7915dd2751a1e59ac46dbc9194fb781e820962a04d47c31344ea2bb30c91f6,2026-08-13,2026-01-26,Facility ID + Measure Name + Start Date + End Date,0,0,0,0,Facility ID,0,0,3354,Footnote,6987,40211,"{""n/a"": 36528, ""too few to report"": 3683}",1,0
cvcs-xecj,Unplanned Hospital Visits - National,data/raw/provider/2026-08-26/cvcs-xecj/Unplanned_Hospital_Visits-National.csv,14,14,2814,44e39aedc296f00fa8477a3485a66012cbfcdefb173435199a0b03343c9402c3,2026-08-13,2026-07-22,Measure ID + Start Date + End Date,0,0,0,0,,0,0,0,Footnote,1,65,"{""not applicable"": 60, ""not available"": 5}",5,0
xubh-q36u,Hospital General Information,data/raw/provider/2026-08-26/xubh-q36u/Hospital_General_Information.csv,5419,38,1450767,f874f09fef895a1ccf5bb7392dcbb2be05c9860339261b093fe00f0c1b013480,2026-08-13,2026-07-22,Facility ID,0,0,0,0,Facility ID,0,164,854,Hospital overall rating footnote|MORT Group Footnote|Safety Group Footnote|READM Group Footnote|Pt Exp Group Footnote|TE Group Footnote,2568,27581,"{""not available"": 27581}",0,0
ypbt-wvdk,Hospital Value-Based Purchasing (HVBP) - Total Performance Score,data/raw/provider/2026-08-26/ypbt-wvdk/hvbp_tps.csv,2455,17,568036,68263e795e5cd228b63e9632f50b1613e409f3ff20d85fd0c114aed4085ee103,2026-08-13,2026-01-26,Facility ID + Fiscal Year,0,0,0,0,Facility ID,0,0,465,,0,312,"{""not available"": 312}",0,0
