facility_id,facility_name,measure_id,measure_name,score_raw,lower_estimate_raw,upper_estimate_raw,comparison_category_raw,footnote_code_raw,measurement_start_date,measurement_end_date,snapshot_date
140258,ALEXIAN BROTHERS MEDICAL CENTER 1,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),14.7,15.2,16.9,Worse Than the National Rate,29,2023-07-01,2024-06-30,2026-07-29
140290,ST ALEXIUS MEDICAL CENTER,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),13.4,13.7,15.6,No Different Than the National Rate,29,2023-07-01,2024-06-30,2026-07-29
