dataset_id,title,role,landing_page,download_url,download_date,downloaded_at_utc,source_issued_date,source_modified_date,source_release_date,raw_path,file_name,file_size_bytes,sha256,row_count,column_count,candidate_key,measurement_period,dictionary_url
xubh-q36u,Hospital General Information,facility_dimension_source,https://data.cms.gov/provider-data/dataset/xubh-q36u,https://data.cms.gov/provider-data/sites/default/files/resources/893c372430d9d71a1c52737d01239d47_1777413958/Hospital_General_Information.csv,2026-07-29,2026-07-29T22:20:13+00:00,2025-01-08,2026-04-28,2026-05-13,data/raw/provider/2026-07-29/xubh-q36u/Hospital_General_Information.csv,Hospital_General_Information.csv,1453884,83c98b2e8687580e0482b13e1e9acd5813534be243e5ccd9f55556a869595d40,5432,38,Facility ID,Profile from source date columns,https://data.cms.gov/provider-data/sites/default/files/data_dictionaries/hospital/HOSPITAL_Data_Dictionary.pdf
632h-zaca,Unplanned Hospital Visits - Hospital,facility_measure_fact_source,https://data.cms.gov/provider-data/dataset/632h-zaca,https://data.cms.gov/provider-data/sites/default/files/resources/30edc1d0417a34b58affcc2495a02b0a_1777413968/Unplanned_Hospital_Visits-Hospital.csv,2026-07-29,2026-07-29T22:20:13+00:00,2023-07-05,2026-04-28,2026-05-13,data/raw/provider/2026-07-29/632h-zaca/Unplanned_Hospital_Visits-Hospital.csv,Unplanned_Hospital_Visits-Hospital.csv,19035194,6f8f59fed5a56e78868d8a4d73f1a78341168cc07f3536b72be952f35c76751d,67088,20,Facility ID + Measure ID + Measure Start Date|Start Date + Measure End Date|End Date,Profile from source date columns,https://data.cms.gov/provider-data/sites/default/files/data_dictionaries/hospital/HOSPITAL_Data_Dictionary.pdf
4gkm-5ypv,Unplanned Hospital Visits - State,state_measure_benchmark_source,https://data.cms.gov/provider-data/dataset/4gkm-5ypv,https://data.cms.gov/provider-data/sites/default/files/resources/73ce05bc6ecbb5def0e859818a906f7b_1776974867/Unplanned_Hospital_Visits-State.csv,2026-07-29,2026-07-29T22:20:13+00:00,2020-12-10,2026-04-21,2026-05-13,data/raw/provider/2026-07-29/4gkm-5ypv/Unplanned_Hospital_Visits-State.csv,Unplanned_Hospital_Visits-State.csv,132702,09ac5d707205c1f61bedb7b017c7de693222cda79a2f3b2fe81b0b8d623a9523,784,14,State + Measure ID + Measure Start Date|Start Date + Measure End Date|End Date,Profile from source date columns,https://data.cms.gov/provider-data/sites/default/files/data_dictionaries/hospital/HOSPITAL_Data_Dictionary.pdf
cvcs-xecj,Unplanned Hospital Visits - National,national_measure_benchmark_source,https://data.cms.gov/provider-data/dataset/cvcs-xecj,https://data.cms.gov/provider-data/sites/default/files/resources/d30b0557f1d06bee1d5646d2eaede709_1776974864/Unplanned_Hospital_Visits-National.csv,2026-07-29,2026-07-29T22:20:13+00:00,2020-12-10,2026-04-21,2026-05-13,data/raw/provider/2026-07-29/cvcs-xecj/Unplanned_Hospital_Visits-National.csv,Unplanned_Hospital_Visits-National.csv,2770,0167c70db38f9449f798fedbecbd2918446063df5c7a58d715713b3fa6be14f6,14,14,Measure ID + Measure Start Date|Start Date + Measure End Date|End Date,Profile from source date columns,https://data.cms.gov/provider-data/sites/default/files/data_dictionaries/hospital/HOSPITAL_Data_Dictionary.pdf
9n3s-kdb3,Hospital Readmissions Reduction Program,hrrp_facility_measure_fact_source,https://data.cms.gov/provider-data/dataset/9n3s-kdb3,https://data.cms.gov/provider-data/sites/default/files/resources/a171bc36c488d3e0dc33ec63abb469a6_1770163617/FY_2026_Hospital_Readmissions_Reduction_Program_Hospital.csv,2026-07-29,2026-07-29T22:20:13+00:00,2020-12-10,2026-01-26,2026-05-13,data/raw/provider/2026-07-29/9n3s-kdb3/FY_2026_Hospital_Readmissions_Reduction_Program_Hospital.csv,FY_2026_Hospital_Readmissions_Reduction_Program_Hospital.csv,2068464,7e7915dd2751a1e59ac46dbc9194fb781e820962a04d47c31344ea2bb30c91f6,18330,12,Facility ID + Measure Name|Measure ID + Start Date|Measure Start Date + End Date|Measure End Date,Profile from source date columns,https://data.cms.gov/provider-data/sites/default/files/data_dictionaries/hospital/HOSPITAL_Data_Dictionary.pdf
ypbt-wvdk,Hospital Value-Based Purchasing (HVBP) - Total Performance Score,hvbp_facility_program_score_source,https://data.cms.gov/provider-data/dataset/ypbt-wvdk,https://data.cms.gov/provider-data/sites/default/files/resources/5551d4839c1dd75e3f7fe1310a1e2369_1770163628/hvbp_tps.csv,2026-07-29,2026-07-29T22:20:13+00:00,2023-07-05,2026-01-26,2026-05-13,data/raw/provider/2026-07-29/ypbt-wvdk/hvbp_tps.csv,hvbp_tps.csv,568036,68263e795e5cd228b63e9632f50b1613e409f3ff20d85fd0c114aed4085ee103,2455,17,Facility ID,Profile from source date columns,https://data.cms.gov/provider-data/sites/default/files/data_dictionaries/hospital/HOSPITAL_Data_Dictionary.pdf
